order,name,author
157,呼兰河传,萧红 
158,红与黑,[法] 司汤达 
159,历史深处的忧虑,林达 
160,中国历代政治得失,钱穆 
161,夏洛的网,[美] E.B.怀特 
162,陆犯焉识,严歌苓 
163,一九八四·动物农场,[英] 乔治·奥威尔 
164,我的天才女友,[意] 埃莱娜·费兰特 
165,大地之灯,七堇年 
166,影响力,[美] 罗伯特·西奥迪尼 
167,匆匆那年（上下）,九夜茴 
168,橙,安东尼 
169,香水,[德] 帕·聚斯金德 
170,人生,路遥 
171,自控力,[美]  凯利·麦格尼格尔 
172,世界尽头与冷酷仙境,[日] 村上春树 
173,冰与火之歌（卷一）,[美] 乔治·R. R. 马丁 
174,看不见的城市,[意大利]伊塔洛·卡尔维诺 
175,那些年，我们一起追的女孩,九把刀 
176,江城,[美] 彼得·海斯勒 
177,变形记,[奥] 卡夫卡 
178,把时间当作朋友,李笑来 
179,阿狸·梦之城堡,hans 
180,天使与魔鬼,[美] 丹.布朗 
181,人性的弱点全集,[美] 戴尔·卡耐基 
182,七夜雪,沧月 
183,ZOO,[日] 乙一 
184,往事并不如烟,章诒和 
185,未来简史,[以色列] 尤瓦尔·赫拉利 
186,国境以南 太阳以西,[日] 村上春树 
187,项链,[法] 莫泊桑 
188,罗生门,[日]芥川龙之介 
189,蔷薇岛屿,安妮宝贝 
190,一句顶一万句,刘震云 
191,京华烟云,林语堂 
192,没有色彩的多崎作和他的巡礼之年,[日] 村上春树 
193,父与子全集,[德] 埃·奥·卜劳恩 绘 
194,文学回忆录（全2册）,木心 讲述 
195,一千零一夜,纳训 
196,最初的爱情 最后的仪式,[英] 伊恩·麦克尤恩 
197,尼罗河上的惨案,[英] 阿加莎·克里斯蒂 
198,人间词话,王国维 
199,生活在别处,[捷克] 米兰·昆德拉 
200,激荡三十年（上）,吴晓波 
201,设计中的设计,[日] 原研哉 
202,雨季不再来,三毛 
203,面纱,(英)W.萨默塞特·毛姆 
204,心是孤独的猎手,[美] 卡森·麦卡勒斯 
205,新名字的故事,[意] 埃莱娜·费兰特 
206,第一炉香,张爱玲 
207,我执,梁文道 
208,佛祖在一号线,李海鹏 
209,我的精神家园,王小波 
210,妻妾成群,苏童 
211,海子的诗,海子 
212,芳华,严歌苓 
213,九州·缥缈录,江南 
214,野火集,龙应台 
215,娱乐至死,[美] 尼尔·波兹曼 
216,教父,[美]马里奥·普佐 
217,偷书贼,[澳] 马克斯·苏萨克 
218,万水千山走遍,三毛 
219,哈姆莱特,[英] 莎士比亚 
220,斯通纳,[美] 约翰·威廉斯 
221,占星术杀人魔法,[日] 岛田庄司 
222,台北人,白先勇 
223,舞！舞！舞！,[日] 村上春树 
224,浪潮之巅,吴军 
225,雾都孤儿,[英]狄更斯 
226,动物凶猛,王朔 
227,子不语1,夏达 
228,新参者,[日] 东野圭吾 
229,小姨多鹤,严歌苓 
230,爱的艺术,[美] 艾·弗洛姆 
231,高效能人士的七个习惯（精华版）,[美] 史蒂芬·柯维 
232,罗杰疑案,[英] 阿加莎·克里斯蒂 
233,夹边沟记事,杨显惠 
234,白银时代,王小波 
235,琅琊榜,海宴 
236,动物庄园,（英）乔治·奥威尔 
237,观念的水位,刘瑜 
238,枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 
239,一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 
240,红拂夜奔,王小波 
241,告白,湊佳苗 
242,巨流河,齐邦媛 
243,中国大历史,黄仁宇 
244,寻羊冒险记,[日] 村上春树 
245,云中歌1,桐华 
246,来不及说我爱你,匪我思存 
247,相约星期二,[美] 米奇·阿尔博姆 
248,带一本书去巴黎,林达 
249,可爱的洪水猛兽,韩寒 
250,退步集,陈丹青 
